"File";"Precision";"Recall";"F1"
"TUW-140253-ref16";"50,00";"28,57";"28,57";"7"
"TUW-140253-ref17";"87,50";"70,00";"70,00";"10"
"TUW-140253-ref18";"50,00";"28,57";"28,57";"7"
"TUW-140253-ref19";"50,00";"28,57";"28,57";"7"
"TUW-140253-ref20";"50,00";"33,33";"33,33";"9"
"TUW-140253-ref21";"58,33";"36,36";"33,33";"11"
"TUW-140253-ref22";"87,50";"70,00";"70,00";"10"
"TUW-140253-ref23";"33,33";"14,29";"12,50";"7"
"TUW-140253-ref24";"62,50";"50,00";"50,00";"10"
"TUW-140253-ref25";"50,00";"28,57";"23,81";"7"
"TUW-140253-ref26";"87,50";"70,00";"70,00";"10"
"TUW-140253-ref27";"66,67";"44,44";"44,44";"9"
"TUW-140253-ref28";"62,50";"50,00";"50,00";"10"
"TUW-140253-ref29";"25,00";"14,29";"14,29";"7"
"TUW-140253-ref30";"55,56";"28,57";"25,71";"7"
"TUW-140253-ref31";"50,00";"28,57";"28,57";"7"
"TUW-140253-ref32";"66,67";"44,44";"44,44";"9"
"TUW-140253-ref33";"87,50";"70,00";"70,00";"10"
"TUW-140253-ref34";"87,50";"70,00";"70,00";"10"
"TUW-140253-ref35";"33,33";"14,29";"12,50";"7"
"TUW-140308-ref2";"100,00";"55,56";"56,67";"12"
"TUW-140308-ref3";"50,00";"29,17";"26,67";"8"
"TUW-140308-ref4";"75,00";"56,25";"56,25";"8"
"TUW-140533-ref36";"33,33";"12,50";"12,50";"8"
"TUW-140533-ref37";"0,00";"0,00";"0,00";"6"
"TUW-140533-ref38";"33,33";"22,22";"20,00";"9"
"TUW-140867-ref1";"100,00";"72,73";"74,29";"10"
"TUW-140867-ref2";"50,00";"16,67";"16,67";"6"
"TUW-140867-ref3";"100,00";"66,67";"66,67";"6"
"TUW-140867-ref4";"50,00";"33,33";"28,57";"6"
"TUW-140867-ref5";"75,00";"42,86";"42,86";"7"
"TUW-140867-ref6";"100,00";"50,00";"50,00";"6"
"TUW-140867-ref7";"66,67";"33,33";"33,33";"6"
"TUW-140867-ref8";"94,44";"47,22";"47,22";"12"
"TUW-140867-ref9";"60,00";"33,33";"30,00";"9"
"TUW-140895-ref31";"75,00";"30,00";"30,00";"10"
"TUW-140895-ref32";"87,50";"70,00";"70,00";"10"
"TUW-140895-ref33";"58,33";"38,89";"38,89";"9"
"TUW-140983-ref1";"66,67";"33,33";"33,33";"6"
"TUW-140983-ref2";"93,33";"55,56";"53,33";"9"
"TUW-140983-ref3";"100,00";"80,00";"80,00";"10"
"TUW-140983-ref4";"50,00";"20,00";"16,67";"5"
"TUW-141024-ref1";"89,06";"70,71";"70,91";"10"
"TUW-141024-ref2";"87,50";"70,00";"70,00";"10"
"TUW-141024-ref3";"66,67";"28,57";"28,57";"7"
"TUW-141024-ref4";"100,00";"74,07";"75,56";"9"
"TUW-141024-ref5";"91,67";"75,00";"74,00";"10"
"TUW-141024-ref6";"95,24";"70,37";"71,60";"9"
"TUW-141024-ref7";"100,00";"36,11";"37,78";"9"
"TUW-141024-ref8";"50,00";"16,67";"18,75";"8"
"TUW-141024-ref9";"100,00";"74,07";"75,56";"9"
"TUW-141024-ref10";"87,50";"70,00";"70,00";"10"
"TUW-141024-ref11";"87,50";"70,00";"70,00";"10"
"TUW-141065-ref1";"75,00";"55,56";"51,85";"9"
"TUW-141065-ref3";"100,00";"72,22";"74,07";"9"
"TUW-141065-ref4";"100,00";"55,00";"56,67";"10"
"TUW-141065-ref5";"100,00";"77,78";"77,78";"9"
"TUW-141065-ref6";"100,00";"66,67";"66,67";"9"
"TUW-141065-ref7";"66,67";"28,57";"25,00";"7"
"TUW-141065-ref8";"100,00";"66,67";"66,67";"9"
"TUW-141065-ref9";"87,50";"55,56";"56,67";"6"
"TUW-141065-ref10";"50,00";"33,33";"28,57";"6"
"TUW-141065-ref11";"50,00";"20,00";"16,67";"5"
"TUW-141065-ref12";"100,00";"77,78";"77,78";"9"
"TUW-141065-ref13";"71,43";"55,56";"55,56";"9"
"TUW-141065-ref14";"100,00";"77,78";"77,78";"9"
"TUW-141121-ref1";"100,00";"80,00";"80,00";"10"
"TUW-141121-ref2";"71,43";"55,56";"50,00";"9"
"TUW-141121-ref3";"45,83";"42,86";"31,75";"7"
"TUW-141121-ref4";"75,00";"42,00";"42,86";"10"
"TUW-141121-ref5";"71,43";"58,33";"53,33";"8"
"TUW-141121-ref6";"100,00";"75,00";"75,00";"8"
"TUW-141140-ref1";"100,00";"43,33";"45,00";"10"
"TUW-141140-ref2";"70,00";"43,75";"38,89";"8"
"TUW-141140-ref3";"80,00";"36,11";"34,00";"9"
"TUW-141140-ref4";"100,00";"50,00";"50,00";"6"
"TUW-141140-ref5";"33,33";"20,00";"16,67";"5"
"TUW-141140-ref6";"75,00";"40,00";"36,73";"6"
"TUW-141140-ref7";"55,56";"17,50";"18,75";"8"
"TUW-141140-ref8";"50,00";"18,75";"18,75";"8"
"TUW-141336-ref1";"83,33";"62,50";"62,50";"8"
"TUW-141336-ref2";"100,00";"77,78";"77,78";"9"
"TUW-141336-ref3";"87,50";"65,00";"66,67";"10"
"TUW-141336-ref4";"91,67";"73,33";"73,33";"10"
"TUW-141336-ref5";"100,00";"50,00";"50,00";"8"
"TUW-141336-ref6";"83,33";"62,50";"62,50";"8"
"TUW-141336-ref7";"83,33";"62,50";"62,50";"8"
"TUW-141336-ref8";"50,00";"33,33";"30,00";"9"
"TUW-141336-ref9";"71,43";"55,56";"55,56";"9"
"TUW-141336-ref10";"100,00";"77,78";"77,78";"9"
"TUW-141336-ref11";"83,33";"62,50";"62,50";"8"
"TUW-141336-ref12";"75,00";"75,00";"60,00";"8"
"TUW-141336-ref13";"66,67";"33,33";"28,57";"6"
"TUW-141336-ref14";"85,71";"66,67";"66,67";"9"
"TUW-141618-ref1";"75,00";"42,86";"42,86";"7"
"TUW-141618-ref2";"87,50";"45,83";"44,64";"8"
"TUW-141618-ref3";"87,50";"70,00";"70,00";"10"
"TUW-141618-ref4";"58,33";"38,89";"38,89";"6"
"TUW-141618-ref7";"39,58";"43,75";"32,50";"8"
"TUW-141618-ref16";"78,57";"55,00";"55,00";"10"
"TUW-141618-ref17";"70,00";"38,89";"38,89";"9"
"TUW-141618-ref18";"40,00";"22,22";"22,22";"9"
"TUW-141618-ref19";"37,50";"25,00";"25,00";"6"
"TUW-141618-ref20";"62,50";"31,25";"31,25";"8"
"TUW-141618-ref21";"75,00";"50,00";"50,00";"6"
"TUW-141618-ref22";"75,00";"50,00";"50,00";"6"
"TUW-141618-ref23";"81,25";"66,67";"65,71";"10"
"TUW-141618-ref24";"8,33";"5,56";"4,76";"6"
"TUW-141618-ref25";"28,57";"20,83";"19,70";"6"
"TUW-141618-ref26";"79,17";"65,00";"64,00";"10"
"TUW-141618-ref27";"60,00";"37,50";"37,50";"8"
"TUW-141618-ref28";"73,33";"50,00";"47,50";"8"
"TUW-141618-ref29";"55,56";"27,78";"27,78";"6"
"TUW-141618-ref31";"50,00";"33,33";"33,33";"6"
"TUW-141618-ref32";"58,33";"35,00";"35,00";"10"
"TUW-141618-ref33";"79,17";"65,00";"64,00";"10"
"TUW-141618-ref34";"50,00";"25,00";"25,00";"8"
"TUW-141618-ref35";"5,56";"5,00";"4,00";"5"
"TUW-141618-ref36";"33,33";"22,22";"22,22";"6"
"TUW-141618-ref37";"85,71";"60,00";"60,00";"10"
"TUW-141758-ref3";"84,07";"64,68";"65,02";"9"
"TUW-141758-ref4";"76,04";"55,92";"56,43";"8"
"TUW-141758-ref5";"82,05";"60,00";"60,71";"8"
"TUW-141758-ref6";"66,67";"50,00";"50,00";"8"
"TUW-141758-ref7";"75,00";"60,00";"60,00";"10"
"TUW-141758-ref8";"75,00";"60,00";"60,00";"10"
"TUW-141758-ref9";"0,00";"0,00";"0,00";"6"
"TUW-141758-ref11";"71,43";"55,56";"55,56";"9"
"TUW-141758-ref13";"33,33";"10,00";"10,00";"10"
"TUW-141758-ref22";"33,33";"10,00";"10,00";"10"
"TUW-141758-ref24";"75,00";"60,00";"60,00";"10"
"TUW-141758-ref25";"75,00";"60,00";"60,00";"10"
"TUW-141758-ref26";"83,33";"62,50";"62,50";"8"
"TUW-141758-ref27";"66,67";"50,00";"50,00";"8"
"TUW-141758-ref28";"26,79";"13,46";"13,43";"8"
"TUW-141758-ref29";"60,00";"42,86";"42,86";"7"
"TUW-141758-ref30";"62,50";"50,00";"50,00";"10"
"TUW-141758-ref31";"33,33";"12,50";"12,50";"8"
"TUW-141758-ref32";"76,25";"61,00";"61,00";"10"
"TUW-141758-ref34";"50,00";"10,00";"10,00";"10"
"TUW-141758-ref35";"0,00";"0,00";"0,00";"8"
"TUW-141758-ref36";"0,00";"0,00";"0,00";"8"
"TUW-141758-ref37";"33,33";"12,50";"12,50";"8"
"TUW-141758-ref38";"0,00";"0,00";"0,00";"8"
"TUW-141758-ref39";"0,00";"0,00";"0,00";"8"
"TUW-141758-ref40";"71,43";"55,56";"55,56";"9"
"TUW-141758-ref41";"33,33";"10,00";"10,00";"10"
"TUW-141758-ref42";"0,00";"0,00";"0,00";"8"
"TUW-141758-ref43";"0,00";"0,00";"0,00";"8"
"TUW-141758-ref44";"0,00";"0,00";"0,00";"8"
"TUW-141758-ref46";"50,00";"10,00";"10,00";"10"
"TUW-141758-ref48";"50,00";"12,50";"12,50";"8"
"TUW-168222-ref1";"100,00";"66,67";"66,67";"6"
"TUW-168222-ref2";"100,00";"50,00";"50,00";"6"
"TUW-168222-ref3";"100,00";"60,00";"60,00";"5"
"TUW-169511-ref1";"83,33";"55,56";"55,56";"9"
"TUW-169511-ref2";"66,67";"44,44";"44,44";"9"
"TUW-169511-ref3";"91,67";"43,75";"44,64";"8"
"TUW-169511-ref4";"71,43";"55,56";"50,00";"9"
"TUW-169511-ref5";"93,75";"75,00";"75,00";"10"
"TUW-169511-ref6";"100,00";"72,22";"74,07";"9"
"TUW-174216-ref1";"50,00";"25,00";"25,00";"8"
"TUW-174216-ref2";"66,67";"33,33";"33,33";"6"
"TUW-174216-ref3";"66,67";"36,36";"33,33";"11"
"TUW-174216-ref4";"37,50";"25,00";"25,00";"6"
"TUW-174216-ref5";"66,67";"28,57";"28,57";"7"
"TUW-174216-ref6";"50,00";"27,27";"27,27";"11"
"TUW-174216-ref7";"25,00";"16,67";"12,50";"6"
"TUW-174216-ref8";"66,67";"36,36";"36,36";"11"
"TUW-174216-ref9";"33,33";"14,29";"14,29";"7"
"TUW-174216-ref10";"100,00";"60,00";"60,00";"10"
"TUW-174216-ref11";"66,67";"50,00";"50,00";"8"
"TUW-174216-ref12";"50,00";"33,33";"28,57";"6"
"TUW-174216-ref13";"33,33";"16,67";"14,29";"6"
"TUW-174216-ref14";"33,33";"16,67";"14,29";"6"
"TUW-174216-ref15";"33,33";"16,67";"14,29";"6"
"TUW-174216-ref16";"66,67";"33,33";"28,57";"6"
"TUW-174216-ref18";"66,67";"50,00";"50,00";"8"
"TUW-174216-ref19";"60,00";"37,50";"33,33";"8"
"TUW-174216-ref20";"83,33";"50,00";"50,00";"10"
"TUW-174216-ref21";"50,00";"28,57";"28,57";"7"
"TUW-174216-ref22";"50,00";"28,57";"28,57";"7"
"TUW-174216-ref23";"66,67";"33,33";"28,57";"6"
"TUW-174216-ref24";"80,00";"50,00";"50,00";"8"
"TUW-174216-ref26";"33,33";"16,67";"14,29";"6"
"TUW-174216-ref27";"33,33";"14,29";"12,50";"7"
"TUW-174216-ref28";"33,33";"12,50";"12,50";"8"
"TUW-175428-ref14";"58,33";"42,86";"35,71";"7"
"TUW-175428-ref15";"57,14";"40,00";"40,00";"10"
"TUW-175428-ref17";"50,00";"30,00";"30,00";"10"
"TUW-175428-ref18";"33,33";"12,50";"12,50";"8"
"TUW-175428-ref19";"50,00";"33,33";"33,33";"6"
"TUW-176087-ref1";"100,00";"76,67";"78,00";"10"
"TUW-176087-ref2";"100,00";"76,67";"78,00";"10"
"TUW-176087-ref3";"100,00";"76,67";"78,00";"10"
"TUW-176087-ref4";"100,00";"72,22";"74,07";"9"
"TUW-176087-ref5";"100,00";"72,22";"74,07";"9"
"TUW-176087-ref6";"100,00";"75,00";"76,67";"10"
"TUW-176087-ref7";"100,00";"75,00";"76,67";"10"
"TUW-176087-ref8";"100,00";"76,67";"78,00";"10"
"TUW-176087-ref9";"100,00";"80,00";"80,00";"10"
"TUW-176087-ref10";"100,00";"76,67";"78,00";"10"
"TUW-176087-ref11";"100,00";"76,67";"78,00";"10"
"TUW-176087-ref12";"100,00";"76,67";"78,00";"10"
"TUW-176087-ref13";"83,33";"66,67";"66,67";"10"
"TUW-177140-ref1";"83,33";"55,56";"55,56";"9"
"TUW-177140-ref2";"80,95";"66,67";"64,44";"9"
"TUW-177140-ref3";"100,00";"70,00";"70,00";"10"
"TUW-177140-ref4";"66,67";"50,00";"50,00";"8"
"TUW-177140-ref5";"83,33";"50,00";"50,00";"10"
"TUW-177140-ref6";"83,33";"55,56";"55,56";"9"
"TUW-177140-ref7";"83,33";"50,00";"50,00";"10"
"TUW-177140-ref8";"83,33";"50,00";"50,00";"10"
"TUW-177140-ref9";"66,67";"50,00";"50,00";"8"
"TUW-177140-ref10";"83,33";"50,00";"50,00";"10"
"TUW-177140-ref12";"83,33";"42,86";"38,10";"7"
"TUW-177140-ref13";"66,67";"50,00";"50,00";"8"
"TUW-177140-ref14";"83,33";"50,00";"50,00";"10"
"TUW-177140-ref15";"50,00";"37,50";"30,00";"8"
"TUW-179146-ref1";"62,50";"31,25";"31,25";"8"
"TUW-179146-ref2";"100,00";"66,67";"66,67";"6"
"TUW-179146-ref3";"80,00";"60,00";"60,00";"8"
"TUW-179146-ref4";"100,00";"77,78";"77,78";"9"
"TUW-179146-ref5";"100,00";"57,14";"57,14";"7"
"TUW-179146-ref6";"100,00";"80,00";"80,00";"10"
"TUW-179146-ref7";"100,00";"80,00";"80,00";"10"
"TUW-179146-ref8";"96,43";"67,50";"67,50";"10"
"TUW-179146-ref9";"83,33";"62,50";"62,50";"8"
"TUW-179146-ref10";"100,00";"70,00";"70,00";"10"
"TUW-179146-ref11";"81,25";"53,33";"53,70";"6"
"TUW-179146-ref12";"93,75";"62,50";"62,50";"6"
"TUW-179146-ref13";"66,67";"50,00";"50,00";"8"
"TUW-179146-ref14";"100,00";"57,14";"57,14";"7"
"TUW-179146-ref15";"100,00";"75,00";"75,00";"8"
"TUW-179146-ref16";"100,00";"40,00";"40,00";"5"
"TUW-179146-ref17";"100,00";"57,14";"57,14";"7"
"TUW-179146-ref18";"100,00";"57,14";"57,14";"7"
"TUW-180162-ref1";"68,75";"45,83";"45,83";"6"
"TUW-180162-ref2";"75,00";"50,00";"50,00";"6"
"TUW-180162-ref3";"75,00";"56,25";"56,25";"8"
"TUW-180162-ref4";"75,00";"50,00";"50,00";"6"
"TUW-180162-ref5";"100,00";"75,00";"75,00";"8"
"TUW-180162-ref6";"83,33";"62,50";"62,50";"8"
"TUW-180162-ref7";"66,67";"40,00";"33,33";"5"
"TUW-180162-ref8";"50,00";"25,00";"20,00";"4"
"TUW-180162-ref9";"50,00";"33,33";"33,33";"6"
"TUW-180162-ref10";"75,00";"45,83";"47,62";"6"
"TUW-180162-ref11";"75,00";"46,67";"48,15";"6"
"TUW-180162-ref12";"75,00";"50,00";"50,00";"6"
"TUW-180162-ref13";"75,00";"50,00";"50,00";"6"
"TUW-180162-ref14";"75,00";"50,00";"50,00";"6"
"TUW-180162-ref15";"75,00";"50,00";"42,86";"6"
"TUW-180162-ref17";"50,00";"25,00";"20,00";"4"
"TUW-180162-ref18";"75,00";"50,00";"50,00";"6"
"TUW-180162-ref19";"25,00";"16,67";"16,67";"6"
"TUW-180162-ref20";"50,00";"28,57";"25,00";"7"
"TUW-180162-ref21";"75,00";"50,00";"50,00";"6"
"TUW-180162-ref22";"75,00";"50,00";"50,00";"6"
"TUW-181199-ref1";"100,00";"50,00";"50,00";"6"
"TUW-181199-ref2";"83,33";"62,50";"62,50";"8"
"TUW-181199-ref3";"80,00";"50,00";"50,00";"8"
"TUW-181199-ref4";"83,33";"55,56";"55,56";"9"
"TUW-181199-ref5";"83,33";"53,70";"54,55";"9"
"TUW-181199-ref6";"63,33";"45,83";"46,59";"8"
"TUW-181199-ref7";"95,24";"74,07";"74,07";"9"
"TUW-181199-ref8";"100,00";"77,78";"77,78";"9"
"TUW-181199-ref9";"70,00";"50,00";"40,74";"8"
"TUW-181199-ref10";"50,00";"16,67";"16,67";"6"
"TUW-181199-ref11";"100,00";"77,78";"77,78";"9"
"TUW-181199-ref12";"90,48";"70,37";"70,37";"9"
"TUW-181199-ref13";"100,00";"42,86";"42,86";"7"
"TUW-181199-ref14";"53,33";"35,71";"32,14";"7"
"TUW-181199-ref15";"83,33";"62,50";"62,50";"8"
"TUW-181199-ref16";"66,67";"50,00";"50,00";"8"
"TUW-182414-ref1";"60,00";"27,27";"27,27";"11"
"TUW-182414-ref2";"50,00";"16,67";"16,67";"6"
"TUW-182414-ref4";"20,00";"16,67";"12,50";"6"
"TUW-182414-ref5";"0,00";"0,00";"0,00";"7"
"TUW-182414-ref6";"0,00";"0,00";"0,00";"6"
"TUW-182414-ref8";"0,00";"0,00";"0,00";"6"
"TUW-182414-ref9";"33,33";"12,50";"12,50";"8"
"TUW-182414-ref10";"12,50";"5,56";"6,67";"6"
"TUW-182414-ref11";"75,00";"51,43";"52,50";"10"
"TUW-182899-ref14";"66,67";"33,33";"33,33";"8"
"TUW-182899-ref15";"75,00";"33,33";"35,00";"8"
"TUW-182899-ref16";"75,00";"60,00";"60,00";"10"
"TUW-182899-ref17";"66,67";"40,00";"40,00";"10"
"TUW-182899-ref18";"87,50";"70,00";"70,00";"10"
"TUW-182899-ref19";"87,50";"66,67";"68,00";"10"
"TUW-182899-ref20";"75,00";"60,00";"60,00";"10"
"TUW-182899-ref21";"87,50";"70,00";"70,00";"10"
"TUW-182899-ref22";"87,50";"70,00";"70,00";"10"
"TUW-182899-ref23";"50,00";"23,81";"25,71";"7"
"TUW-182899-ref24";"87,50";"70,00";"70,00";"10"
"TUW-182899-ref25";"33,33";"8,33";"10,00";"8"
"TUW-182899-ref26";"33,33";"14,29";"12,50";"7"
"TUW-182899-ref28";"87,50";"70,00";"70,00";"10"
"TUW-182899-ref29";"60,00";"37,50";"37,50";"8"
"TUW-182899-ref30";"33,33";"16,67";"14,29";"6"
"TUW-185321-ref1";"80,00";"44,44";"44,44";"9"
"TUW-185441-ref1";"100,00";"76,67";"78,00";"10"
"TUW-185441-ref2";"80,00";"40,74";"38,00";"9"
"TUW-185441-ref4";"66,67";"44,44";"44,44";"9"
"TUW-185441-ref5";"100,00";"50,00";"50,00";"8"
"TUW-186227-ref1";"100,00";"42,86";"42,86";"7"
"TUW-186227-ref2";"100,00";"80,00";"80,00";"10"
"TUW-186227-ref3";"100,00";"80,00";"80,00";"10"
"TUW-186227-ref4";"100,00";"80,00";"80,00";"10"
"TUW-186227-ref5";"100,00";"80,00";"80,00";"10"
"TUW-186227-ref6";"100,00";"80,00";"80,00";"10"
"TUW-186227-ref7";"100,00";"37,50";"37,50";"8"
"TUW-191715-ref1";"85,71";"66,67";"60,00";"9"
"TUW-191715-ref2";"100,00";"50,00";"50,00";"6"
"TUW-191715-ref3";"85,71";"60,00";"60,00";"10"
"TUW-191715-ref4";"80,00";"50,00";"50,00";"8"
"TUW-191715-ref5";"94,44";"70,83";"70,83";"8"
"TUW-191715-ref6";"100,00";"33,33";"33,33";"6"
"TUW-191715-ref7";"58,33";"33,33";"30,95";"6"
"TUW-191715-ref8";"85,71";"60,00";"60,00";"10"
"TUW-191715-ref9";"100,00";"50,00";"50,00";"10"
"TUW-191715-ref10";"100,00";"62,50";"62,50";"8"
"TUW-191715-ref11";"100,00";"75,00";"75,00";"8"
"TUW-191715-ref12";"100,00";"80,00";"80,00";"10"
"TUW-191715-ref14";"79,17";"55,56";"53,97";"9"
"TUW-191715-ref15";"66,67";"33,33";"33,33";"6"
"TUW-191715-ref16";"58,33";"28,57";"26,53";"7"
"TUW-191715-ref17";"66,67";"28,57";"28,57";"7"
"TUW-191715-ref18";"80,00";"50,00";"50,00";"8"
"TUW-191715-ref19";"80,00";"50,00";"50,00";"8"
"TUW-191715-ref20";"75,00";"50,00";"42,86";"6"
"TUW-191715-ref21";"83,33";"62,50";"62,50";"8"
"TUW-191715-ref22";"100,00";"75,00";"75,00";"8"
"TUW-191715-ref23";"80,00";"50,00";"50,00";"8"
"TUW-191715-ref24";"83,33";"62,50";"62,50";"8"
"TUW-191715-ref25";"63,33";"50,00";"48,61";"8"
"TUW-191715-ref26";"100,00";"40,00";"40,00";"5"
"TUW-191715-ref27";"75,00";"50,00";"50,00";"6"
"TUW-191715-ref28";"100,00";"50,00";"50,00";"6"
"TUW-191715-ref29";"87,50";"77,78";"70,00";"9"
"TUW-191715-ref30";"43,75";"25,00";"20,63";"8"
"TUW-191715-ref31";"100,00";"62,50";"62,50";"8"
"TUW-191715-ref32";"95,00";"66,67";"64,81";"6"
"TUW-191715-ref33";"75,00";"42,86";"42,86";"7"
"TUW-191977-ref1";"75,00";"42,86";"42,86";"7"
"TUW-191977-ref2";"100,00";"42,86";"42,86";"7"
"TUW-191977-ref3";"40,00";"23,81";"20,00";"7"
"TUW-191977-ref4";"33,33";"14,29";"14,29";"7"
"TUW-191977-ref5";"100,00";"80,00";"80,00";"10"
